tender_id,original_filename,file_path,file_size,page_count,text_extraction_status,ocr_required,extraction_method,date_found,source_url_if_available,department_if_detected,organization_if_detected,tender_title_if_detected,product_category_if_detected,notes
T001,eProcurement System Government of India2.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India2.pdf,198900,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=Sp%2FHOgPR…,Administration - ISMD,Indian Institute of Technology(ISM) Dhanbad,"Renovation of 5 no of toilets 3 Gents and 2 Ladies incl replacement of damaged pipelines by Hubless and GI pipes,replacement of floor and wall tiles and upgradation of all sanitary fittings at AGL Department in Main School Building at IIT ISM Dhanbad",Civil Works,"Tender Ref: CMU-12011/57/2026-CMU; Value: ₹13,27,189"
T002,eProcurement System Government of India3.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India3.pdf,192049,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SXSWYyBO7rZ…,Heavy Water Plant Baroda,Heavy Water Board,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,"Tender Ref: HWBFV/21/2026-27/TS-733; Value: ₹27,40,000"
T003,eProcurement System Government of India4.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India4.pdf,193547,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SmdRbKjL2rtk…,Institute Works Department - IITK,Indian Institute of Technology Kanpur,Replacement / repair of distribution boards and defective lights at various locations in main sports stadium and elesewhere in IIT Kanpur,Electrical Works Sub category Electrical works,"Tender Ref: 54/EE/Elect/2026-27; Value: ₹9,97,161"
T004,eProcurement System Government of India5.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India5.pdf,192768,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SGIBjHhjm6t7…,Central Office - DU,Delhi University,"Dismantling,Shifting and reinstallation of feeder pillar, power cables from outside of electrical room to AMF room, internal electrical maintenance work at common coridoor, toilets, replacement of faulty 2x2 celing light of seminar and multipurpose",Electrical Works,"Tender Ref: CEET-421; Value: ₹9,82,834"
T005,eProcurement System Government of India6.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India6.pdf,206456,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SPbEFdKJRc1L…,Banaras Hindu University,Banaras Hindu University,"Cable connection of DG Set in Newly constructed building of the Dept. of Molecular , Human Genetics and Electrical renovation work including replacement of old Power Sockets in Algal Culture Room, Old Building in Department of Botany, BHU",Electrical Works,"Tender Ref: UED/2026/05082026-1; Value: ₹2,78,478"
T006,eProcurement System Government of India7.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India7.pdf,197704,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=S6gSii51RvDc…,Rajiv Gandhi Centre for Aquaculture (RGCA),Rajiv Gandhi Centre for Aquaculture (RGCA),"UPVC Partition Wall Work for Conversion of Seafood Authentication Laboratory into Conventional Microbiology Laboratory at Central Laboratory (CAGPFTL), RGCA-HQ, Karaimedu, Sirkali",Civil Works - Others,"Tender Ref: 24575; Value: ₹12,64,889"
T007,eProcurement System Government of India8.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India8.pdf,190520,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SGCiqWtqLzpj…,Indian Institute of Technology Ropar,Indian Institute of Technology Ropar,Tender for Opening of Himalayan Low-Oil Food Outlet on BOT basis at IIT Ropar,Hotel/ Catering,Tender Ref: 34-26/HIMFOOD/FAC/IITRPR; Value: ₹NA
T008,eProcurement System Government of India9.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India9.pdf,192051,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SXSWYyBO7rZ…,Heavy Water Plant Baroda,Heavy Water Board,"Annual Rate Contract for Execution of Mechanical Maintenance Works including Pumps, Valve Replacement, Flange Joint Maintenance, Heat Exchanger Maintenance, NDT and Allied Mechanical Works at Heavy Water Board Facilities, Vadodara.",Machineries/ Mechanical Engg Items,"Tender Ref: HWBFV/21/2026-27/TS-733; Value: ₹27,40,000"
T009,eProcurement System Government of India10.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India10.pdf,195142,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SMZmb2KWo…,"Regional Office,Arunanchal Pradesh,FCI,MFPD",Food Corporation of India,Annual Repairs and Maintenance Contract for electrical and mechanical services alongwith requisite materials at FSD Kharsang and FSD Pasighat under DO Pasighat for FY 26-27,Electrical Works,"Tender Ref: 02/Engg/EM/Aru/2026-27; Value: ₹5,37,580"
T010,eProcurement System Government of India11.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India11.pdf,205122,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SCm0Q8l4ILR…,Engineering Wing - CUJMU,Central University of Jammu,Electromechanical Works and Sewerage Pipeline works from Collection Chamber to STP,Civil Works - Others,"Tender Ref: CUJ/W/2025-26/10; Value: ₹24,76,808"
T011,eProcurement System Government of India12.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India12.pdf,197748,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SaQ7LLXD08B…,"ANO FTR(Bangalore),BSF,MHA","DG,BSF,MHA",Providing and laying underground cable for STP for main supply of electricity under CEDCO BSF Bangalore,Electrical Works,"Tender Ref: 18/EE(E )/ Ftr OD/ BGLR/BSF/2026-27; Value: ₹7,69,319"
T012,eProcurement System Government of India13.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India13.pdf,192729,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SIlWg1bUTC%…,Central Office - DU,Delhi University,"Repair and CC Works, Plaster Repairing, Plumbing Fittings, Painting, Roofing and other allied works in Strom Water Pump Room of Maurice Nagar, University of Delhi",Civil Works,"Tender Ref: CEET-426; Value: ₹4,37,144"
T013,eProcurement System Government of India14.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India14.pdf,190198,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=S1gv5O2RDax…,R.O. West Bengal,Employees State Insurance Corporation,"SITC of VFD water pump panel, piping work , Insulation work and replacement of by valves at ESI, Hospital Durgapur, West Bengal",Electrical Works,"Tender Ref: C/AG-12/22/DGP/HVAC/2021/PMD; Value: ₹11,08,782"
T014,eProcurement System Government of India15.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India15.pdf,209963,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SB%2BPysE2V…,Bhabha Atomic Research Centre Mumbai,Bhabha Atomic Research Centre,"Design, manufacturing, inspection, supply, installation, testing and commissioning of three numbers of Process Water Pump motors 3.3 kV, 440 kW at Dhruva, BARC, Mumbai 400085",Electrical Works,"Tender Ref: BARC/RRMD/ET/4/2026-2027 Date 28/07/2026; Value: ₹1,45,14,000"
T015,eProcurement System Government of India16.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India16.pdf,191543,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=S2gBbXFrEAw…,Construction and Engineering-IISER -,Indian Institute of Science Education and Research - Thiruvananthapuram,"Construction of shed for waste collection in CDH 1 and CDH 2 at IISER Campus, Vithura",Civil Works,"Tender Ref: IISER-T/2091/27/2026-27 dated 03.09.2026; Value: ₹5,45,002"
T016,eProcurement System Government of India17.pdf,/home/syed-imadulla/Desktop/sih26108-feasibility/tenders/raw/eProcurement System Government of India17.pdf,199855,2,SUCCESS,False,pymupdf_native_text,2026-09-10,https://eprocure.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndTenderDetails&service=direct&session=T&sp=SCNYNIbmlU…,"Punjab Ftr(Jallundhar),BSF,MHA","DG,BSF,MHA",Construction of 01 No Surveillance Cum OP Shelter G1 at BOP Rana of 160 Bn Now 50 Bn BSF under SHQ BSF Abohar Sub Head Electrical,Electrical Works Sub category Electrical work,"Tender Ref: 23/Engg(E )/Tender/SHQ-ABR/25-26; Value: ₹2,35,514"
